hypervectorSize, inputQuant, classVectorQuant, trainIteration, numCorrect
8000, 16, 2, 12, 1329
8000, 16, 2, 13, 1344
8000, 16, 2, 14, 1345
8000, 16, 2, 15, 1363
8000, 16, 2, 16, 1383
8000, 16, 2, 17, 1385
8000, 16, 2, 18, 1385
8000, 16, 2, 19, 1386
8000, 16, 2, 20, 1389
8000, 32, 2, 1, 1285
8000, 32, 2, 2, 1259
8000, 32, 2, 3, 1276
8000, 32, 2, 4, 1301
8000, 32, 2, 5, 1275
8000, 32, 2, 6, 1284
8000, 32, 2, 7, 1300
8000, 32, 2, 8, 1330
8000, 32, 2, 9, 1334
8000, 32, 2, 10, 1328
8000, 32, 2, 11, 1348
8000, 32, 2, 12, 1352
8000, 32, 2, 13, 1351
8000, 32, 2, 14, 1348
8000, 32, 2, 15, 1339
8000, 32, 2, 16, 1345
8000, 32, 2, 17, 1332
8000, 32, 2, 18, 1360
8000, 32, 2, 19, 1380
8000, 32, 2, 20, 1387
8000, 64, 2, 1, 1275
8000, 64, 2, 2, 1276
8000, 64, 2, 3, 1284
8000, 64, 2, 4, 1311
8000, 64, 2, 5, 1308
8000, 64, 2, 6, 1310
8000, 64, 2, 7, 1325
8000, 64, 2, 8, 1318
8000, 64, 2, 9, 1310
8000, 64, 2, 10, 1310
8000, 64, 2, 11, 1341
8000, 64, 2, 12, 1359
8000, 64, 2, 13, 1378
8000, 64, 2, 14, 1387
8000, 64, 2, 15, 1394
8000, 64, 2, 16, 1394
8000, 64, 2, 17, 1396
8000, 64, 2, 18, 1396
8000, 64, 2, 19, 1391
8000, 64, 2, 20, 1391
8000, 2, 4, 1, 1348
8000, 2, 4, 2, 1376
8000, 2, 4, 3, 1367
8000, 2, 4, 4, 1358
8000, 2, 4, 5, 1354
8000, 2, 4, 6, 1378
8000, 2, 4, 7, 1374
8000, 2, 4, 8, 1379
8000, 2, 4, 9, 1374
8000, 2, 4, 10, 1425
8000, 2, 4, 11, 1430
8000, 2, 4, 12, 1430
8000, 2, 4, 13, 1430
8000, 2, 4, 14, 1430
8000, 2, 4, 15, 1437
8000, 2, 4, 16, 1429
8000, 2, 4, 17, 1432
8000, 2, 4, 18, 1427
8000, 2, 4, 19, 1427
8000, 2, 4, 20, 1428
8000, 4, 4, 1, 1351
8000, 4, 4, 2, 1382
8000, 4, 4, 3, 1372
8000, 4, 4, 4, 1375
8000, 4, 4, 5, 1387
8000, 4, 4, 6, 1424
8000, 4, 4, 7, 1434
8000, 4, 4, 8, 1433
8000, 4, 4, 9, 1433
8000, 4, 4, 10, 1441
8000, 4, 4, 11, 1438
8000, 4, 4, 12, 1436
8000, 4, 4, 13, 1437
8000, 4, 4, 14, 1437
8000, 4, 4, 15, 1433
8000, 4, 4, 16, 1434
8000, 4, 4, 17, 1435
8000, 4, 4, 18, 1434
8000, 4, 4, 19, 1434
8000, 4, 4, 20, 1433
8000, 8, 4, 1, 1354
8000, 8, 4, 2, 1379
8000, 8, 4, 3, 1390
8000, 8, 4, 4, 1406
8000, 8, 4, 5, 1438
8000, 8, 4, 6, 1443
8000, 8, 4, 7, 1446
8000, 8, 4, 8, 1448
